
========================================
E08 - BACKTEST DE RERANKING
========================================
Loteria: PT_RIO
Limite: 0
Historico minimo: 100

[SNAPSHOT] Carregando hist├│rico compartilhado...
[SNAPSHOT] Sorteios congelados: 7507

[1/2] Executando V3...
[BACKTEST] 25/7407 | avaliados=25 | erros=0
[BACKTEST] 50/7407 | avaliados=50 | erros=0
[BACKTEST] 75/7407 | avaliados=75 | erros=0
[BACKTEST] 100/7407 | avaliados=100 | erros=0
[BACKTEST] 125/7407 | avaliados=125 | erros=0
[BACKTEST] 150/7407 | avaliados=150 | erros=0
[BACKTEST] 175/7407 | avaliados=175 | erros=0
[BACKTEST] 200/7407 | avaliados=200 | erros=0
[BACKTEST] 225/7407 | avaliados=225 | erros=0
[BACKTEST] 250/7407 | avaliados=250 | erros=0
[BACKTEST] 275/7407 | avaliados=275 | erros=0
[BACKTEST] 300/7407 | avaliados=300 | erros=0
[BACKTEST] 325/7407 | avaliados=325 | erros=0
[BACKTEST] 350/7407 | avaliados=350 | erros=0
[BACKTEST] 375/7407 | avaliados=375 | erros=0
[BACKTEST] 400/7407 | avaliados=400 | erros=0
[BACKTEST] 425/7407 | avaliados=425 | erros=0
[BACKTEST] 450/7407 | avaliados=450 | erros=0
[BACKTEST] 475/7407 | avaliados=475 | erros=0
[BACKTEST] 500/7407 | avaliados=500 | erros=0
[BACKTEST] 525/7407 | avaliados=525 | erros=0
[BACKTEST] 550/7407 | avaliados=550 | erros=0
[BACKTEST] 575/7407 | avaliados=575 | erros=0
[BACKTEST] 600/7407 | avaliados=600 | erros=0
[BACKTEST] 625/7407 | avaliados=625 | erros=0
[BACKTEST] 650/7407 | avaliados=650 | erros=0
[BACKTEST] 675/7407 | avaliados=675 | erros=0
[BACKTEST] 700/7407 | avaliados=700 | erros=0
[BACKTEST] 725/7407 | avaliados=725 | erros=0
[BACKTEST] 750/7407 | avaliados=750 | erros=0
[BACKTEST] 775/7407 | avaliados=775 | erros=0
[BACKTEST] 800/7407 | avaliados=800 | erros=0
[BACKTEST] 825/7407 | avaliados=825 | erros=0
