
Carregando snapshot hist├│rico ├║nico...

[1/2] Executando V3 com telemetria...
[BACKTEST] 25/7406 | avaliados=25 | erros=0
[BACKTEST] 50/7406 | avaliados=50 | erros=0
[BACKTEST] 75/7406 | avaliados=75 | erros=0
[BACKTEST] 100/7406 | avaliados=100 | erros=0
[BACKTEST] 125/7406 | avaliados=125 | erros=0
[BACKTEST] 150/7406 | avaliados=150 | erros=0
[BACKTEST] 175/7406 | avaliados=175 | erros=0
[BACKTEST] 200/7406 | avaliados=200 | erros=0
[BACKTEST] 225/7406 | avaliados=225 | erros=0
[BACKTEST] 250/7406 | avaliados=250 | erros=0
[BACKTEST] 275/7406 | avaliados=275 | erros=0
[BACKTEST] 300/7406 | avaliados=300 | erros=0
[BACKTEST] 325/7406 | avaliados=325 | erros=0
[BACKTEST] 350/7406 | avaliados=350 | erros=0
[BACKTEST] 375/7406 | avaliados=375 | erros=0
[BACKTEST] 400/7406 | avaliados=400 | erros=0
[BACKTEST] 425/7406 | avaliados=425 | erros=0
[BACKTEST] 450/7406 | avaliados=450 | erros=0
[BACKTEST] 475/7406 | avaliados=475 | erros=0
[BACKTEST] 500/7406 | avaliados=500 | erros=0
[BACKTEST] 525/7406 | avaliados=525 | erros=0
[BACKTEST] 550/7406 | avaliados=550 | erros=0
[BACKTEST] 575/7406 | avaliados=575 | erros=0
[BACKTEST] 600/7406 | avaliados=600 | erros=0
[BACKTEST] 625/7406 | avaliados=625 | erros=0
[BACKTEST] 650/7406 | avaliados=650 | erros=0
[BACKTEST] 675/7406 | avaliados=675 | erros=0
[BACKTEST] 700/7406 | avaliados=700 | erros=0
[BACKTEST] 725/7406 | avaliados=725 | erros=0
[BACKTEST] 750/7406 | avaliados=750 | erros=0
[BACKTEST] 775/7406 | avaliados=775 | erros=0
[BACKTEST] 800/7406 | avaliados=800 | erros=0
[BACKTEST] 825/7406 | avaliados=825 | erros=0
[BACKTEST] 850/7406 | avaliados=850 | erros=0
[BACKTEST] 875/7406 | avaliados=875 | erros=0
[BACKTEST] 900/7406 | avaliados=900 | erros=0
[BACKTEST] 925/7406 | avaliados=925 | erros=0
[BACKTEST] 950/7406 | avaliados=950 | erros=0
[BACKTEST] 975/7406 | avaliados=975 | erros=0
[BACKTEST] 1000/7406 | avaliados=1000 | erros=0
[BACKTEST] 1025/7406 | avaliados=1025 | erros=0
[BACKTEST] 1050/7406 | avaliados=1050 | erros=0
[BACKTEST] 1075/7406 | avaliados=1075 | erros=0
[BACKTEST] 1100/7406 | avaliados=1100 | erros=0
[BACKTEST] 1125/7406 | avaliados=1125 | erros=0
[BACKTEST] 1150/7406 | avaliados=1150 | erros=0
[BACKTEST] 1175/7406 | avaliados=1175 | erros=0
[BACKTEST] 1200/7406 | avaliados=1200 | erros=0
[BACKTEST] 1225/7406 | avaliados=1225 | erros=0
[BACKTEST] 1250/7406 | avaliados=1250 | erros=0
[BACKTEST] 1275/7406 | avaliados=1275 | erros=0
[BACKTEST] 1300/7406 | avaliados=1300 | erros=0
