==============================================
TOP3 OFFICIAL BACKTEST
==============================================

Loteria.............: PT_RIO
Engine..............: top3_statistical_v3
Histórico carregado.: 7498
Casos elegíveis.....: 7398
Casos avaliados.....: 1000
Casos ignorados.....: 0
Erros...............: 0
Período histórico...: 2022-06-07 até 2026-07-16
Período avaliado....: 2022-06-29 até 2023-02-15
TOP1................: 60 (6.00%)
TOP3................: 130 (13.00%)
Tempo total.........: 62948 ms

POR HORÁRIO
16:00    avaliados=  225 | TOP1=   4.44% | TOP3=  11.11% | erros=0
21:00    avaliados=  192 | TOP1=   7.29% | TOP3=  13.02% | erros=0
11:00    avaliados=  227 | TOP1=   7.93% | TOP3=  14.54% | erros=0
14:00    avaliados=  226 | TOP1=   5.31% | TOP3=  11.50% | erros=0
18:00    avaliados=  130 | TOP1=   4.62% | TOP3=  16.15% | erros=0

POR DIA DA SEMANA
0   avaliados=   90 | TOP1=   2.22% | TOP3=   8.89% | erros=0
1   avaliados=  165 | TOP1=   5.45% | TOP3=  13.94% | erros=0
2   avaliados=  163 | TOP1=   7.98% | TOP3=  14.72% | erros=0
3   avaliados=  127 | TOP1=   3.94% | TOP3=  13.39% | erros=0
4   avaliados=  162 | TOP1=   6.79% | TOP3=  10.49% | erros=0
5   avaliados=  165 | TOP1=   6.06% | TOP3=  13.94% | erros=0
6   avaliados=  128 | TOP1=   7.81% | TOP3=  14.06% | erros=0

POR MÊS
2022-06 avaliados=    7 | TOP1=   0.00% | TOP3=  14.29% | erros=0
2022-07 avaliados=  136 | TOP1=   5.88% | TOP3=  13.24% | erros=0
2022-08 avaliados=  138 | TOP1=   5.80% | TOP3=  11.59% | erros=0
2022-09 avaliados=  132 | TOP1=   6.06% | TOP3=  14.39% | erros=0
2022-10 avaliados=  131 | TOP1=   6.87% | TOP3=  16.79% | erros=0
2022-11 avaliados=  126 | TOP1=   7.94% | TOP3=  15.87% | erros=0
2022-12 avaliados=  133 | TOP1=   3.01% | TOP3=   9.77% | erros=0
2023-01 avaliados=  134 | TOP1=   6.72% | TOP3=  11.19% | erros=0
2023-02 avaliados=   63 | TOP1=   6.35% | TOP3=   9.52% | erros=0
