
====================================
TOP3 OFFICIAL BACKTEST
====================================

Loteria............: PT_RIO
Limite.............: TODOS
Hist├│rico m├¡nimo...: 100
Per├¡odo............: in├¡cio at├® fim
Telemetria.........: DESATIVADA

[BACKTEST] 25/7432 | avaliados=25 | erros=0
[BACKTEST] 50/7432 | avaliados=50 | erros=0
[BACKTEST] 75/7432 | avaliados=75 | erros=0
[BACKTEST] 100/7432 | avaliados=100 | erros=0
[BACKTEST] 125/7432 | avaliados=125 | erros=0
[BACKTEST] 150/7432 | avaliados=150 | erros=0
[BACKTEST] 175/7432 | avaliados=175 | erros=0
[BACKTEST] 200/7432 | avaliados=200 | erros=0
[BACKTEST] 225/7432 | avaliados=225 | erros=0
[BACKTEST] 250/7432 | avaliados=250 | erros=0
[BACKTEST] 275/7432 | avaliados=275 | erros=0
[BACKTEST] 300/7432 | avaliados=300 | erros=0
[BACKTEST] 325/7432 | avaliados=325 | erros=0
[BACKTEST] 350/7432 | avaliados=350 | erros=0
[BACKTEST] 375/7432 | avaliados=375 | erros=0
[BACKTEST] 400/7432 | avaliados=400 | erros=0
[BACKTEST] 425/7432 | avaliados=425 | erros=0
[BACKTEST] 450/7432 | avaliados=450 | erros=0
[BACKTEST] 475/7432 | avaliados=475 | erros=0
[BACKTEST] 500/7432 | avaliados=500 | erros=0
[BACKTEST] 525/7432 | avaliados=525 | erros=0
[BACKTEST] 550/7432 | avaliados=550 | erros=0
[BACKTEST] 575/7432 | avaliados=575 | erros=0
[BACKTEST] 600/7432 | avaliados=600 | erros=0
[BACKTEST] 625/7432 | avaliados=625 | erros=0
[BACKTEST] 650/7432 | avaliados=650 | erros=0
[BACKTEST] 675/7432 | avaliados=675 | erros=0
[BACKTEST] 700/7432 | avaliados=700 | erros=0
[BACKTEST] 725/7432 | avaliados=725 | erros=0
[BACKTEST] 750/7432 | avaliados=750 | erros=0
[BACKTEST] 775/7432 | avaliados=775 | erros=0
[BACKTEST] 800/7432 | avaliados=800 | erros=0
[BACKTEST] 825/7432 | avaliados=825 | erros=0
[BACKTEST] 850/7432 | avaliados=850 | erros=0
[BACKTEST] 875/7432 | avaliados=875 | erros=0
[BACKTEST] 900/7432 | avaliados=900 | erros=0
[BACKTEST] 925/7432 | avaliados=925 | erros=0
[BACKTEST] 950/7432 | avaliados=950 | erros=0
[BACKTEST] 975/7432 | avaliados=975 | erros=0
[BACKTEST] 1000/7432 | avaliados=1000 | erros=0
[BACKTEST] 1025/7432 | avaliados=1025 | erros=0
[BACKTEST] 1050/7432 | avaliados=1050 | erros=0
[BACKTEST] 1075/7432 | avaliados=1075 | erros=0
[BACKTEST] 1100/7432 | avaliados=1100 | erros=0
[BACKTEST] 1125/7432 | avaliados=1125 | erros=0
[BACKTEST] 1150/7432 | avaliados=1150 | erros=0
[BACKTEST] 1175/7432 | avaliados=1175 | erros=0
[BACKTEST] 1200/7432 | avaliados=1200 | erros=0
[BACKTEST] 1225/7432 | avaliados=1225 | erros=0
[BACKTEST] 1250/7432 | avaliados=1250 | erros=0
[BACKTEST] 1275/7432 | avaliados=1275 | erros=0
[BACKTEST] 1300/7432 | avaliados=1300 | erros=0
[BACKTEST] 1325/7432 | avaliados=1325 | erros=0
[BACKTEST] 1350/7432 | avaliados=1350 | erros=0
[BACKTEST] 1375/7432 | avaliados=1375 | erros=0
[BACKTEST] 1400/7432 | avaliados=1400 | erros=0
[BACKTEST] 1425/7432 | avaliados=1425 | erros=0
[BACKTEST] 1450/7432 | avaliados=1450 | erros=0
[BACKTEST] 1475/7432 | avaliados=1475 | erros=0
[BACKTEST] 1500/7432 | avaliados=1500 | erros=0
[BACKTEST] 1525/7432 | avaliados=1525 | erros=0
[BACKTEST] 1550/7432 | avaliados=1550 | erros=0
[BACKTEST] 1575/7432 | avaliados=1575 | erros=0
[BACKTEST] 1600/7432 | avaliados=1600 | erros=0
[BACKTEST] 1625/7432 | avaliados=1625 | erros=0
[BACKTEST] 1650/7432 | avaliados=1650 | erros=0
[BACKTEST] 1675/7432 | avaliados=1675 | erros=0
[BACKTEST] 1700/7432 | avaliados=1700 | erros=0
[BACKTEST] 1725/7432 | avaliados=1725 | erros=0
[BACKTEST] 1750/7432 | avaliados=1750 | erros=0
[BACKTEST] 1775/7432 | avaliados=1775 | erros=0
[BACKTEST] 1800/7432 | avaliados=1800 | erros=0
[BACKTEST] 1825/7432 | avaliados=1825 | erros=0
[BACKTEST] 1850/7432 | avaliados=1850 | erros=0
[BACKTEST] 1875/7432 | avaliados=1875 | erros=0
[BACKTEST] 1900/7432 | avaliados=1900 | erros=0
[BACKTEST] 1925/7432 | avaliados=1925 | erros=0
[BACKTEST] 1950/7432 | avaliados=1950 | erros=0
[BACKTEST] 1975/7432 | avaliados=1975 | erros=0
[BACKTEST] 2000/7432 | avaliados=2000 | erros=0
[BACKTEST] 2025/7432 | avaliados=2025 | erros=0
[BACKTEST] 2050/7432 | avaliados=2050 | erros=0
[BACKTEST] 2075/7432 | avaliados=2075 | erros=0
[BACKTEST] 2100/7432 | avaliados=2100 | erros=0
[BACKTEST] 2125/7432 | avaliados=2125 | erros=0
[BACKTEST] 2150/7432 | avaliados=2150 | erros=0
[BACKTEST] 2175/7432 | avaliados=2175 | erros=0
[BACKTEST] 2200/7432 | avaliados=2200 | erros=0
[BACKTEST] 2225/7432 | avaliados=2225 | erros=0
[BACKTEST] 2250/7432 | avaliados=2250 | erros=0
[BACKTEST] 2275/7432 | avaliados=2275 | erros=0
[BACKTEST] 2300/7432 | avaliados=2300 | erros=0
[BACKTEST] 2325/7432 | avaliados=2325 | erros=0
[BACKTEST] 2350/7432 | avaliados=2350 | erros=0
[BACKTEST] 2375/7432 | avaliados=2375 | erros=0
[BACKTEST] 2400/7432 | avaliados=2400 | erros=0
[BACKTEST] 2425/7432 | avaliados=2425 | erros=0
