==============================================
TOP3 OFFICIAL BACKTEST
==============================================

Loteria.............: PT_RIO
Engine..............: top3_statistical_v3
Histórico carregado.: 7533
Casos elegíveis.....: 7433
Casos avaliados.....: 7433
Casos ignorados.....: 0
Erros...............: 0
Período histórico...: 2022-06-07 até 2026-07-23
Período avaliado....: 2022-06-29 até 2026-07-23
TOP1................: 323 (4.35%)
TOP3 no 1º prêmio...: 917 (12.34%)
Acerto no 1º prêmio.: 917 (12.34%)
Acerto no 2º prêmio.: 857 (11.53%)
Acerto no 3º prêmio.: 917 (12.34%)
Algum acerto 1º-3º..: 2359 (31.74%)
Posições atingidas..: 2691
Média posições/caso.: 0.3620
Palpites atingidos..: 2579
Média palpites/caso.: 0.3470
Tempo total.........: 2434571 ms

POR HORÁRIO
16:00    avaliados= 1470 | TOP1=   3.61% | 1º=  12.93% | 2º=  10.88% | 3º=  13.33% | QUALQUER=  32.86% | erros=0
21:00    avaliados= 1255 | TOP1=   5.98% | 1º=  13.55% | 2º=  11.00% | 3º=  11.47% | QUALQUER=  31.55% | erros=0
11:00    avaliados= 1469 | TOP1=   4.70% | 1º=  11.91% | 2º=  13.14% | 3º=  11.71% | QUALQUER=  31.65% | erros=0
14:00    avaliados= 1471 | TOP1=   4.49% | 1º=  12.24% | 2º=  11.90% | 3º=  12.98% | QUALQUER=  32.22% | erros=0
18:00    avaliados=  852 | TOP1=   3.64% | 1º=  11.97% | 2º=  11.27% | 3º=  13.73% | QUALQUER=  32.63% | erros=0
09:00    avaliados=  916 | TOP1=   3.17% | 1º=  10.92% | 2º=  10.37% | 3º=  10.59% | QUALQUER=  28.71% | erros=0

POR DIA DA SEMANA
0   avaliados=  746 | TOP1=   2.28% | 1º=   9.25% | 2º=  10.72% | 3º=  12.33% | QUALQUER=  28.15% | erros=0
1   avaliados= 1184 | TOP1=   4.05% | 1º=  12.67% | 2º=  11.66% | 3º=  13.68% | QUALQUER=  32.77% | erros=0
2   avaliados= 1187 | TOP1=   4.38% | 1º=  12.47% | 2º=  13.06% | 3º=  10.95% | QUALQUER=  31.59% | erros=0
3   avaliados=  980 | TOP1=   4.18% | 1º=  12.55% | 2º=  10.41% | 3º=  12.35% | QUALQUER=  31.84% | erros=0
4   avaliados= 1175 | TOP1=   5.28% | 1º=  12.85% | 2º=  11.57% | 3º=  11.32% | QUALQUER=  31.23% | erros=0
5   avaliados= 1178 | TOP1=   4.92% | 1º=  13.67% | 2º=  11.46% | 3º=  12.56% | QUALQUER=  32.77% | erros=0
6   avaliados=  983 | TOP1=   4.58% | 1º=  11.70% | 2º=  11.29% | 3º=  13.33% | QUALQUER=  32.66% | erros=0

POR MÊS
2022-06 avaliados=    7 | TOP1=   0.00% | 1º=  14.29% | 2º=   0.00% | 3º=  14.29% | QUALQUER=  28.57% | erros=0
2022-07 avaliados=  136 | TOP1=   5.88% | 1º=  13.24% | 2º=  11.76% | 3º=  15.44% | QUALQUER=  36.76% | erros=0
2022-08 avaliados=  138 | TOP1=   5.80% | 1º=  11.59% | 2º=  11.59% | 3º=  16.67% | QUALQUER=  31.16% | erros=0
2022-09 avaliados=  132 | TOP1=   6.06% | 1º=  14.39% | 2º=   8.33% | 3º=  15.91% | QUALQUER=  33.33% | erros=0
2022-10 avaliados=  131 | TOP1=   6.87% | 1º=  16.79% | 2º=  13.74% | 3º=  12.21% | QUALQUER=  34.35% | erros=0
2022-11 avaliados=  126 | TOP1=   7.94% | 1º=  15.87% | 2º=  11.90% | 3º=  17.46% | QUALQUER=  40.48% | erros=0
2022-12 avaliados=  133 | TOP1=   3.01% | 1º=   9.77% | 2º=   7.52% | 3º=   9.77% | QUALQUER=  24.06% | erros=0
2023-01 avaliados=  134 | TOP1=   6.72% | 1º=  11.19% | 2º=   9.70% | 3º=  12.69% | QUALQUER=  30.60% | erros=0
2023-02 avaliados=  125 | TOP1=   4.80% | 1º=  13.60% | 2º=   8.80% | 3º=  13.60% | QUALQUER=  28.80% | erros=0
2023-03 avaliados=  138 | TOP1=   2.90% | 1º=  14.49% | 2º=   7.97% | 3º=  16.67% | QUALQUER=  35.51% | erros=0
2023-04 avaliados=  126 | TOP1=   2.38% | 1º=  11.11% | 2º=  10.32% | 3º=  12.70% | QUALQUER=  28.57% | erros=0
2023-05 avaliados=  138 | TOP1=   6.52% | 1º=  13.77% | 2º=  13.77% | 3º=   7.25% | QUALQUER=  28.26% | erros=0
2023-06 avaliados=  134 | TOP1=   8.96% | 1º=  18.66% | 2º=  11.19% | 3º=  11.19% | QUALQUER=  35.07% | erros=0
2023-07 avaliados=  136 | TOP1=   5.88% | 1º=  16.18% | 2º=  13.24% | 3º=  13.97% | QUALQUER=  36.76% | erros=0
2023-08 avaliados=  138 | TOP1=   3.62% | 1º=  10.87% | 2º=  11.59% | 3º=  15.94% | QUALQUER=  34.06% | erros=0
2023-09 avaliados=  133 | TOP1=   6.01% | 1º=  14.29% | 2º=   9.02% | 3º=  11.28% | QUALQUER=  31.58% | erros=0
2023-10 avaliados=  137 | TOP1=   2.92% | 1º=  12.41% | 2º=  10.95% | 3º=  13.87% | QUALQUER=  33.58% | erros=0
2023-11 avaliados=  128 | TOP1=   4.69% | 1º=  14.84% | 2º=  11.72% | 3º=   9.38% | QUALQUER=  31.25% | erros=0
2023-12 avaliados=  133 | TOP1=   3.01% | 1º=   9.02% | 2º=  12.78% | 3º=  12.03% | QUALQUER=  31.58% | erros=0
2024-01 avaliados=  160 | TOP1=   3.75% | 1º=  11.25% | 2º=  13.75% | 3º=  13.13% | QUALQUER=  34.38% | erros=0
2024-02 avaliados=  158 | TOP1=   3.80% | 1º=  12.03% | 2º=  11.39% | 3º=   8.86% | QUALQUER=  27.85% | erros=0
2024-03 avaliados=  156 | TOP1=   1.92% | 1º=   8.33% | 2º=  12.18% | 3º=  12.82% | QUALQUER=  28.21% | erros=0
2024-04 avaliados=  163 | TOP1=   2.45% | 1º=   9.20% | 2º=  12.88% | 3º=  11.04% | QUALQUER=  26.99% | erros=0
2024-05 avaliados=  170 | TOP1=   3.53% | 1º=  10.59% | 2º=  11.76% | 3º=   5.29% | QUALQUER=  26.47% | erros=0
2024-06 avaliados=  161 | TOP1=   5.59% | 1º=  15.53% | 2º=  12.42% | 3º=  11.18% | QUALQUER=  34.16% | erros=0
2024-07 avaliados=  169 | TOP1=   5.92% | 1º=  10.65% | 2º=  13.02% | 3º=  14.20% | QUALQUER=  33.73% | erros=0
2024-08 avaliados=  169 | TOP1=   2.96% | 1º=  11.24% | 2º=   7.10% | 3º=  13.02% | QUALQUER=  29.59% | erros=0
2024-09 avaliados=  162 | TOP1=   1.85% | 1º=   8.64% | 2º=  17.28% | 3º=  11.11% | QUALQUER=  34.57% | erros=0
2024-10 avaliados=  165 | TOP1=   5.45% | 1º=  10.91% | 2º=  15.76% | 3º=  11.52% | QUALQUER=  33.94% | erros=0
2024-11 avaliados=  163 | TOP1=   5.52% | 1º=  15.95% | 2º=  10.43% | 3º=   9.82% | QUALQUER=  28.83% | erros=0
2024-12 avaliados=  160 | TOP1=   4.38% | 1º=  14.38% | 2º=   8.75% | 3º=   9.38% | QUALQUER=  29.38% | erros=0
2025-01 avaliados=  164 | TOP1=   3.66% | 1º=  15.24% | 2º=   9.15% | 3º=  12.20% | QUALQUER=  33.54% | erros=0
2025-02 avaliados=  152 | TOP1=   1.32% | 1º=   8.55% | 2º=  13.82% | 3º=   8.55% | QUALQUER=  25.00% | erros=0
2025-03 avaliados=  168 | TOP1=   2.98% | 1º=  12.50% | 2º=   7.14% | 3º=  14.88% | QUALQUER=  30.95% | erros=0
2025-04 avaliados=  164 | TOP1=   4.27% | 1º=   7.32% | 2º=  14.02% | 3º=  12.80% | QUALQUER=  28.05% | erros=0
2025-05 avaliados=  169 | TOP1=   5.92% | 1º=  13.61% | 2º=  11.83% | 3º=  10.65% | QUALQUER=  31.95% | erros=0
2025-06 avaliados=  162 | TOP1=   1.85% | 1º=   9.88% | 2º=  13.58% | 3º=   8.02% | QUALQUER=  27.78% | erros=0
2025-07 avaliados=  169 | TOP1=   4.73% | 1º=  12.43% | 2º=  11.24% | 3º=  15.98% | QUALQUER=  35.50% | erros=0
2025-08 avaliados=  167 | TOP1=   3.59% | 1º=  11.38% | 2º=  10.78% | 3º=  13.17% | QUALQUER=  30.54% | erros=0
2025-09 avaliados=  164 | TOP1=   3.66% | 1º=  10.98% | 2º=  12.20% | 3º=  12.80% | QUALQUER=  31.71% | erros=0
2025-10 avaliados=  169 | TOP1=   3.55% | 1º=  10.06% | 2º=   9.47% | 3º=  11.24% | QUALQUER=  27.22% | erros=0
