==============================================
TOP3 OFFICIAL BACKTEST
==============================================

Loteria.............: PT_RIO
Engine..............: top3_statistical_v3
Histórico carregado.: 7508
Casos elegíveis.....: 7408
Casos avaliados.....: 7408
Casos ignorados.....: 0
Erros...............: 0
Período histórico...: 2022-06-07 até 2026-07-18
Período avaliado....: 2022-06-29 até 2026-07-18
TOP1................: 321 (4.33%)
TOP3................: 913 (12.32%)
Tempo total.........: 3182626 ms

POR HORÁRIO
16:00    avaliados= 1465 | TOP1=   3.62% | TOP3=  12.90% | erros=0
21:00    avaliados= 1251 | TOP1=   6.00% | TOP3=  13.59% | erros=0
11:00    avaliados= 1465 | TOP1=   4.71% | TOP3=  11.95% | erros=0
14:00    avaliados= 1466 | TOP1=   4.43% | TOP3=  12.14% | erros=0
18:00    avaliados=  849 | TOP1=   3.53% | TOP3=  11.90% | erros=0
09:00    avaliados=  912 | TOP1=   3.18% | TOP3=  10.96% | erros=0

POR DIA DA SEMANA
0   avaliados=  744 | TOP1=   2.28% | TOP3=   9.14% | erros=0
1   avaliados= 1178 | TOP1=   4.07% | TOP3=  12.73% | erros=0
2   avaliados= 1181 | TOP1=   4.40% | TOP3=  12.53% | erros=0
3   avaliados=  976 | TOP1=   4.10% | TOP3=  12.40% | erros=0
4   avaliados= 1169 | TOP1=   5.22% | TOP3=  12.83% | erros=0
5   avaliados= 1178 | TOP1=   4.92% | TOP3=  13.67% | erros=0
6   avaliados=  982 | TOP1=   4.58% | TOP3=  11.71% | erros=0

POR MÊS
2022-06 avaliados=    7 | TOP1=   0.00% | TOP3=  14.29% | erros=0
2022-07 avaliados=  136 | TOP1=   5.88% | TOP3=  13.24% | erros=0
2022-08 avaliados=  138 | TOP1=   5.80% | TOP3=  11.59% | erros=0
2022-09 avaliados=  132 | TOP1=   6.06% | TOP3=  14.39% | erros=0
2022-10 avaliados=  131 | TOP1=   6.87% | TOP3=  16.79% | erros=0
2022-11 avaliados=  126 | TOP1=   7.94% | TOP3=  15.87% | erros=0
2022-12 avaliados=  133 | TOP1=   3.01% | TOP3=   9.77% | erros=0
2023-01 avaliados=  134 | TOP1=   6.72% | TOP3=  11.19% | erros=0
2023-02 avaliados=  125 | TOP1=   4.80% | TOP3=  13.60% | erros=0
2023-03 avaliados=  138 | TOP1=   2.90% | TOP3=  14.49% | erros=0
2023-04 avaliados=  126 | TOP1=   2.38% | TOP3=  11.11% | erros=0
2023-05 avaliados=  138 | TOP1=   6.52% | TOP3=  13.77% | erros=0
2023-06 avaliados=  134 | TOP1=   8.96% | TOP3=  18.66% | erros=0
2023-07 avaliados=  136 | TOP1=   5.88% | TOP3=  16.18% | erros=0
2023-08 avaliados=  138 | TOP1=   3.62% | TOP3=  10.87% | erros=0
2023-09 avaliados=  133 | TOP1=   6.01% | TOP3=  14.29% | erros=0
2023-10 avaliados=  137 | TOP1=   2.92% | TOP3=  12.41% | erros=0
2023-11 avaliados=  128 | TOP1=   4.69% | TOP3=  14.84% | erros=0
2023-12 avaliados=  133 | TOP1=   3.01% | TOP3=   9.02% | erros=0
2024-01 avaliados=  160 | TOP1=   3.75% | TOP3=  11.25% | erros=0
2024-02 avaliados=  158 | TOP1=   3.80% | TOP3=  12.03% | erros=0
2024-03 avaliados=  156 | TOP1=   1.92% | TOP3=   8.33% | erros=0
2024-04 avaliados=  163 | TOP1=   2.45% | TOP3=   9.20% | erros=0
2024-05 avaliados=  170 | TOP1=   3.53% | TOP3=  10.59% | erros=0
2024-06 avaliados=  161 | TOP1=   5.59% | TOP3=  15.53% | erros=0
2024-07 avaliados=  169 | TOP1=   5.92% | TOP3=  10.65% | erros=0
