
====================================
TOP3 OFFICIAL BACKTEST
====================================

Loteria............: PT_RIO
Limite.............: TODOS
Histórico mínimo...: 100
Período............: início até fim

[BACKTEST] 25/7391 | avaliados=25 | erros=0
[BACKTEST] 50/7391 | avaliados=50 | erros=0
[BACKTEST] 75/7391 | avaliados=75 | erros=0
[BACKTEST] 100/7391 | avaliados=100 | erros=0
[BACKTEST] 125/7391 | avaliados=125 | erros=0
[BACKTEST] 150/7391 | avaliados=150 | erros=0
[BACKTEST] 175/7391 | avaliados=175 | erros=0
[BACKTEST] 200/7391 | avaliados=200 | erros=0
[BACKTEST] 225/7391 | avaliados=225 | erros=0
[BACKTEST] 250/7391 | avaliados=250 | erros=0
[BACKTEST] 275/7391 | avaliados=275 | erros=0
[BACKTEST] 300/7391 | avaliados=300 | erros=0
[BACKTEST] 325/7391 | avaliados=325 | erros=0
[BACKTEST] 350/7391 | avaliados=350 | erros=0
[BACKTEST] 375/7391 | avaliados=375 | erros=0
[BACKTEST] 400/7391 | avaliados=400 | erros=0
[BACKTEST] 425/7391 | avaliados=425 | erros=0
[BACKTEST] 450/7391 | avaliados=450 | erros=0
[BACKTEST] 475/7391 | avaliados=475 | erros=0
[BACKTEST] 500/7391 | avaliados=500 | erros=0
[BACKTEST] 525/7391 | avaliados=525 | erros=0
[BACKTEST] 550/7391 | avaliados=550 | erros=0
